AA_CRSE;NUM_CRSE_PERM;NUM_CRSE_DIV;NUM_CRSE_DUPL;NUM_CRSE_PGM;LB_CRSE;D_REU;C_FED;N_ORD_HIP;NUM_ID_SOC;Y_CRSE;Y_QUALIF;C_PARCO;C_CRD;DIST_PARCO;C_CATEG_CRSE;C_Y_CRSE;C_Y_CRSE_2;C_Y_CRSE_3;C_Y_CRSE_4;C_Y_CRSE_5;C_DIS;C_SP;C_MEET;C_CHAL;Z_MAX_PART;Z_MIN_PART;NUM_CRSE_PMH;NUM_CRSE_PMU;H_DEB_OPER;H_DEP_CRSE;I_CND_ICPT;I_CND_VAL;C_BRME_DECL;C_DECL_MNTE;REF_CRSE_1;REF_CRSE_2;REF_CRSE_3;I_CRSE_EVT_PMU;C_PMU;C_PMH;I_ELIM_PART;C_ETAT_VAL_CRSE;D_MAJ_ETA_AVCT_CRS;Z_ENG_CRSE;Z_ENG_NUL;Z_ENG_NON_VAL;Z_ENG_SUPL;Z_FORF_1;Z_FORF_2;Z_FORF_3;Z_FORF_4;Z_FORF_5;Z_NDP;Z_ANUL_PART;Z_DECL_PART;Z_ELIM_PRIO;Z_ELIM_RETI;Z_DPNP;Z_DPNP_CF;Z_DPNP_CERTF_VETO;Z_DPNP_SJ;Z_CH_DPNP_AU;Z_CH_TOMB_HAI_ESS;C_CRI_AG;C_CRI_SEXE;C_CRI_RACE;I_CND_G_DROIT_PRIM;C_CRI_LI_NAI;C_CRI_LI;D_DEB_ENTR_CND_G;C_CRI_PROP;I_CND_G_BREE;CND_G_VALE_MIN;CND_G_VALE_MAX;C_CRI_MNTE;C_CRSE_BT;I_CND_SDC_ART_115;VAL_PX_NOMI;C_REPART_PX;I_CRSE_FC;D_PUB_PDS;HH_PUB_PDS;C_ETAT_VAL_PUB;REF_LIM;PDS_MIN_HDC;PDS_MAX_HDC;CND_P_CRI_AG_1;CND_P_VALE_PDS_1;CND_P_CRI_AG_2;CND_P_VALE_PDS_2;CND_P_CRI_AG_3;CND_P_VALE_PDS_3;I_CRSE_REPSUP;CATEG_HIPP;AUPREMIER;I_PDS_MIN;Z_ENG_SUPL_2;C_CLA_CRSE;C_M_DEPART;Z_DPNP_DEPART;Z_ENG_2;D_MAJ_TS
2007;8798;0;0;3000;PRIX DES MAURES;20070101;06;04;516486;PA;PA;06;;3300;54;;;;;;H;O;0001;;16;1;1;3;1345;1410;N;V;100;MO;0;0;0;P;02;T;;PV;20070227;29;0;3;0;7;0;0;0;0;3;5;11;0;0;1;0;1;0;0;0;44;3;19;N;;;0;;N;0;0;;;N;28000;011;O;0;0;;0;610;0;44;650;;0;;0;;1N;13440;;0;;;0;0;2017-02-05 01:27:42
2007;95150;0;0;3001;PRIX DE LA CHARENTE;20070101;06;04;516486;PA;PA;06;;3300;54;;;;;;H;O;0001;;16;1;2;1;1245;1310;N;V;100;MO;0;0;0;P;02;T;;PV;20070227;31;0;2;0;12;0;0;0;0;6;0;11;0;0;0;0;0;0;0;0;44;4;19;N;;;0;;N;0;0;;;N;28000;011;O;0;0;;0;610;0;44;650;;0;;0;;1N;13440;;0;;;0;0;2017-02-05 01:27:42
2007;97098;0;0;3002;PRIX DES LANDES;20070101;06;04;516486;PA;PA;07;;3800;31;;;;;;H;O;0001;;16;1;3;6;1515;1540;N;V;100;MO;0;0;0;P;02;T;;PV;20070227;34;0;0;1;10;0;0;0;0;8;5;11;0;0;1;0;1;0;0;0;55;7;19;N;;;0;;N;0;0;;;N;16000;011;O;0;0;;0;610;0;55;660;;0;;0;;1N;7680;;0;;;0;0;2017-02-05 01:27:42
2007;97114;10;0;3003;PRIX DE PAU;20070101;06;04;516486;PA;PA;08;;3900;46;;;;;;H;O;0001;;12;1;4;5;1445;1510;O;V;100;MO;50;70;0;P;40;T;;PV;20070403;49;1;1;0;19;0;0;0;0;11;5;12;0;0;1;0;0;0;0;0;50;7;19;N;;;0;;N;0;0;;;N;30000;011;O;20061226;103000;V;0;620;0;55;0;60;0;;0;;1N;14400;N;0;;;0;0;2017-02-05 01:27:42
2007;97114;20;0;3004;PRIX DU BEARN;20070101;06;04;516486;PA;PA;08;;3900;46;;;;;;H;O;0001;;12;1;5;7;1545;1615;O;V;100;MO;135;155;0;P;02;T;;PV;20070404;12;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;50;7;19;N;;;0;;N;0;0;;;N;20000;011;O;20061226;103000;V;0;620;0;55;0;60;0;;0;;1N;9600;N;0;;;0;0;2017-02-05 01:27:42
2007;97104;0;0;3005;PRIX DE L'AQUITAINE;20070101;06;04;516486;PA;PA;05;;3700;54;;;;;;S;O;0001;;16;1;6;2;1315;1340;O;V;100;MO;0;0;0;P;02;T;;PV;20070227;25;1;1;0;12;0;0;0;0;3;0;8;0;0;0;0;0;0;0;0;44;7;19;N;;;0;;N;0;0;;;N;30000;011;O;0;0;;0;610;0;44;650;;0;;0;;1N;14400;;0;;;0;0;2017-02-05 01:27:42
2007;96701;0;0;3006;PRIX DE LA VENDEE;20070101;06;04;516486;PA;PA;08;;4300;31;;;;;;S;O;0001;;16;1;7;4;1415;1440;N;V;100;MO;0;0;0;P;02;T;;PV;20070227;20;0;1;0;7;0;0;0;0;2;0;10;0;0;0;0;0;0;0;0;60;7;19;N;;;0;;N;0;0;;;N;16000;011;O;0;0;;0;610;0;60;670;;0;;0;;1N;7680;;0;;;0;0;2017-02-05 01:27:42
2007;6445;0;0;3028;PRIX DE BARCUS;20070102;05;39;516685;PA;PA;03;;3300;31;;;;;;H;O;0002;;18;1;4;1;1310;1340;N;V;100;MO;0;0;0;P;02;T;;PV;20070712;21;0;0;0;5;0;0;0;0;6;0;10;0;0;0;0;0;0;0;0;44;4;19;N;;;0;;N;0;0;;;N;16000;011;O;0;0;;0;610;0;44;660;;0;;0;;1N;7680;;0;;;0;0;2017-02-05 01:27:42
2007;6675;0;0;3029;PRIX PMU CAFE DE LA HALLE - AMOU (PX ALFRED TORRANCE);20070102;05;39;516685;PA;PA;04;;3500;54;01;;;;;H;O;0002;;18;1;6;3;1415;1440;N;V;100;MO;0;0;0;P;06;T;O;PV;20070226;25;0;0;0;2;0;0;0;0;3;0;18;2;0;0;0;0;0;0;0;44;3;39;O;;;0;;N;0;0;;;N;30000;011;O;0;0;;0;610;0;44;660;;0;;0;;1N;14400;;0;;;0;0;2017-02-05 01:27:42
2007;92642;0;0;3030;PRIX GUILLAUME DE PRACOMTAL;20070102;05;39;516685;PA;PA;19;;3900;54;;;;;;S;O;0002;;18;1;7;5;1515;1540;N;V;100;MO;0;0;0;P;02;T;;PV;20070108;45;1;0;0;18;0;0;0;0;13;2;11;0;0;1;0;1;0;0;0;55;7;19;N;;;0;;N;0;0;;;N;32000;011;O;0;0;;0;610;0;55;650;;0;;0;;1N;15360;;0;;;0;0;2017-02-05 01:27:42
